3 8000
931 482 0
324 760 0
761 613 0
533 351 0
82 590 0
105 80 0
493 72 1
508 993 0
117 119 0
706 770 0
893 360 1
894 285 1
279 199 0
297 697 0
811 20 1
529 45 1
649 709 0
334 940 0
971 401 1
642 18 1
622 789 0
710 519 0
896 259 1
75 681 0
331 353 0
663 82 1
543 962 0
124 566 0
890 537 0
502 134 1
803 343 1
954 664 0
694 549 0
550 400 0
52 656 0
459 555 0
988 16 1
303 762 0
826 740 0
820 751 0
333 208 0
618 462 0
976 513 0
424 751 0
486 782 0
902 95 1
955 620 0
378 554 0
500 532 0
765 146 1
271 699 0
890 321 1
499 804 0
759 404 0
111 625 0
311 66 1
97 92 0
962 302 1
712 493 0
501 20 1
921 955 0
479 319 0
977 5 1
538 562 0
886 346 1
252 42 1
768 149 1
668 871 0
328 280 0
959 557 0
607 161 1
147 777 0
195 824 0
738 184 1
897 508 0
110 495 0
74 278 0
684 229 1
761 673 0
791 334 1
392 471 0
935 663 0
197 479 0
688 424 0
720 704 0
319 679 0
842 759 0
680 968 0
399 708 0
774 758 0
376 961 0
549 12 1
960 265 1
796 495 0
425 933 0
333 548 0
586 797 0
473 195 1
524 726 0
251 641 0
98 126 0
117 926 0
330 471 0
897 401 1
374 473 0
313 339 0
186 553 0
617 432 0
80 171 0
438 912 0
951 691 0
936 828 0
210 842 0
526 748 0
465 729 0
120 300 0
369 296 0
635 204 1
991 66 1
816 947 0
739 530 0
851 211 1
211 93 1
993 162 1
908 102 1
361 176 0
963 10 1
382 245 0
812 965 0
805 472 0
373 274 0
100 344 0
615 373 0
823 771 0
399 319 0
278 703 0
719 45 1
917 401 1
995 981 0
503 258 0
456 489 0
547 350 0
951 951 0
467 80 1
555 953 0
138 417 0
315 526 0
827 214 1
803 980 0
328 397 0
703 401 0
199 185 0
928 326 1
394 85 1
82 646 0
801 969 0
387 142 1
247 700 0
170 303 0
197 203 0
164 264 0
370 249 0
454 194 1
527 912 0
434 879 0
88 320 0
204 847 0
744 822 0
725 266 1
463 266 0
42 713 0
571 449 0
967 602 0
28 361 0
299 52 1
604 991 0
89 945 0
886 735 0
887 798 0
302 115 1
717 571 0
340 636 0
322 30 1
81 905 0
506 167 1
74 985 0
529 195 1
711 327 1
541 300 0
321 704 0
351 22 1
514 243 1
188 319 0
98 880 0
200 189 0
856 532 0
382 974 0
927 818 0
539 900 0
322 497 0
661 851 0
623 75 1
660 45 1
751 301 1
828 470 0
906 718 0
